,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
1,1,7,1,3,9,3,3,11,6,24,18,ikigai
2,0,0,1,0,0,0,0,0,1,0,-1,ikigai
3,3,14,1,2,9,3,1,13,6,22,16,ikigai
4,2,10,2,1,9,4,3,12,4,14,10,ikigai
5,1,0,0,0,1,1,1,3,2,6,4,ikigai
6,0,1,0,0,2,0,1,2,2,2,0,ikigai
7,0,0,0,0,1,0,0,2,0,2,2,ikigai
8,0,0,0,0,0,0,0,1,0,1,1,ikigai
9,0,2,0,0,3,0,0,5,0,3,3,ikigai
10,1,3,1,0,2,2,0,4,2,11,9,ikigai
11,1,2,1,0,1,0,1,1,2,3,1,ikigai
12,0,2,0,0,3,0,2,4,0,4,4,ikigai
13,1,14,1,4,15,5,2,13,4,27,23,ikigai
14,1,3,0,0,3,0,1,4,2,5,3,ikigai
15,0,6,0,1,8,1,3,7,1,15,14,ikigai
16,2,2,3,1,1,1,0,2,4,7,3,ikigai
17,1,4,0,2,3,2,2,4,2,6,4,ikigai
18,1,3,1,2,3,2,2,4,6,6,0,ikigai
19,3,14,1,3,14,8,8,15,8,26,18,ikigai
20,1,5,0,1,7,0,1,6,1,20,19,ikigai
21,0,1,0,0,1,0,1,2,0,2,2,ikigai
22,1,2,2,1,4,2,2,2,2,8,6,ikigai
23,0,6,0,2,3,0,2,2,2,6,4,ikigai
24,0,7,1,0,5,0,2,5,3,9,6,ikigai
25,0,0,0,0,0,0,0,0,0,1,1,ikigai
26,2,10,2,1,7,3,2,13,7,18,11,ikigai
27,0,0,0,0,0,0,0,0,0,2,2,ikigai
28,1,1,0,1,1,2,0,0,3,2,-1,ikigai
29,1,4,0,0,6,1,2,7,1,20,19,ikigai
30,0,0,0,0,1,0,0,3,1,7,6,ikigai
31,0,2,0,0,3,2,0,2,2,4,2,ikigai
32,0,4,0,0,5,0,1,5,0,7,7,ikigai
33,1,3,0,0,3,0,1,3,3,5,2,ikigai
34,0,2,0,0,6,0,2,5,1,10,9,ikigai
35,0,3,0,1,1,1,0,3,2,9,7,ikigai
36,1,0,1,0,1,0,0,1,1,3,2,ikigai
37,0,0,0,0,1,0,0,2,0,4,4,ikigai
38,2,2,1,3,7,1,0,4,2,16,14,ikigai
39,0,2,0,1,3,0,1,5,0,8,8,ikigai
40,3,2,3,0,2,1,1,4,3,4,1,ikigai
41,0,1,0,2,3,0,0,5,3,8,5,ikigai
42,0,2,1,1,3,1,2,5,1,6,5,ikigai
43,0,1,0,0,3,0,0,2,0,6,6,ikigai
44,0,2,0,0,2,0,1,4,1,8,7,ikigai
45,0,4,0,1,1,0,3,5,3,9,6,ikigai
46,1,2,0,1,3,1,0,2,3,5,2,ikigai
47,1,4,1,0,5,2,1,3,2,8,6,ikigai
48,0,1,0,0,1,0,0,2,0,4,4,ikigai
49,0,2,0,0,3,0,1,3,0,6,6,ikigai
50,0,0,1,0,2,0,0,3,1,3,2,ikigai
51,0,1,1,0,2,0,0,3,2,5,3,ikigai
52,1,0,2,1,0,1,0,0,2,0,-2,ikigai
53,2,4,2,0,3,2,1,4,2,5,3,ikigai
54,0,1,1,0,1,1,1,0,2,1,-1,ikigai
55,0,1,0,0,2,0,0,0,0,4,4,ikigai
56,0,1,0,0,2,0,0,2,1,2,1,ikigai
57,0,1,0,0,1,0,0,1,0,4,4,ikigai
58,0,3,0,0,1,0,0,1,0,3,3,ikigai
59,1,2,0,1,3,0,1,3,0,9,9,ikigai
60,0,0,1,1,0,0,0,1,1,1,0,ikigai
61,1,4,0,1,5,1,1,7,3,10,7,ikigai
62,1,2,1,2,2,1,3,3,1,3,2,ikigai
63,0,1,0,0,1,1,1,1,1,1,0,ikigai
64,2,2,1,2,1,1,0,2,3,5,2,ikigai
65,0,2,0,0,1,0,0,5,2,5,3,ikigai
66,0,1,0,0,3,0,1,3,0,6,6,ikigai
67,0,1,0,0,3,0,1,4,1,7,6,ikigai
68,0,0,0,0,0,0,0,1,2,4,2,ikigai
69,0,0,0,0,0,0,0,0,0,1,1,ikigai
70,0,0,0,0,0,0,0,0,1,2,1,ikigai
71,0,2,0,0,1,0,1,1,0,1,1,ikigai
72,1,3,0,0,2,0,0,3,1,5,4,ikigai
73,2,9,2,2,7,2,3,6,5,12,7,ikigai
74,0,6,0,0,2,0,2,5,0,7,7,ikigai
75,0,0,0,1,2,0,0,2,0,3,3,ikigai
76,0,3,0,0,3,0,1,3,1,6,5,ikigai
77,1,5,2,0,1,2,2,5,2,7,5,ikigai
78,1,5,0,1,4,2,2,2,2,6,4,ikigai
79,0,2,0,0,2,0,1,3,0,5,5,ikigai
80,0,2,0,0,0,0,0,2,0,4,4,ikigai
81,0,1,0,0,2,0,1,3,0,4,4,ikigai
82,0,4,0,0,2,1,0,4,1,5,4,ikigai
83,0,1,0,0,2,0,1,3,0,2,2,ikigai
84,2,2,1,2,2,2,1,1,2,5,3,ikigai
