"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1",1,7,1,3,9,3,3,11,6,24,18
"2",0,0,1,0,0,0,0,0,1,0,-1
"3",3,14,1,2,9,3,1,13,6,22,16
"4",2,10,2,1,9,4,3,12,4,14,10
"5",1,0,0,0,1,1,1,3,2,6,4
"6",0,1,0,0,2,0,1,2,2,2,0
"7",0,0,0,0,1,0,0,2,0,2,2
"8",0,0,0,0,0,0,0,1,0,1,1
"9",0,2,0,0,3,0,0,5,0,3,3
"10",1,3,1,0,2,2,0,4,2,11,9
"11",1,2,1,0,1,0,1,1,2,3,1
"12",0,2,0,0,3,0,2,4,0,4,4
"13",1,14,1,4,15,5,2,13,4,27,23
"14",1,3,0,0,3,0,1,4,2,5,3
"15",0,6,0,1,8,1,3,7,1,15,14
"16",2,2,3,1,1,1,0,2,4,7,3
"17",1,4,0,2,3,2,2,4,2,6,4
"18",1,3,1,2,3,2,2,4,6,6,0
"19",3,14,1,3,14,8,8,15,8,26,18
"20",1,5,0,1,7,0,1,6,1,20,19
"21",0,1,0,0,1,0,1,2,0,2,2
"22",1,2,2,1,4,2,2,2,2,8,6
"23",0,6,0,2,3,0,2,2,2,6,4
"24",0,7,1,0,5,0,2,5,3,9,6
"25",0,0,0,0,0,0,0,0,0,1,1
"26",2,10,2,1,7,3,2,13,7,18,11
"27",0,0,0,0,0,0,0,0,0,2,2
"28",1,1,0,1,1,2,0,0,3,2,-1
"29",1,4,0,0,6,1,2,7,1,20,19
"30",0,0,0,0,1,0,0,3,1,7,6
"31",0,2,0,0,3,2,0,2,2,4,2
"32",0,4,0,0,5,0,1,5,0,7,7
"33",1,3,0,0,3,0,1,3,3,5,2
"34",0,2,0,0,6,0,2,5,1,10,9
"35",0,3,0,1,1,1,0,3,2,9,7
"36",1,0,1,0,1,0,0,1,1,3,2
"37",0,0,0,0,1,0,0,2,0,4,4
"38",2,2,1,3,7,1,0,4,2,16,14
"39",0,2,0,1,3,0,1,5,0,8,8
"40",3,2,3,0,2,1,1,4,3,4,1
"41",0,1,0,2,3,0,0,5,3,8,5
"42",0,2,1,1,3,1,2,5,1,6,5
"43",0,1,0,0,3,0,0,2,0,6,6
"44",0,2,0,0,2,0,1,4,1,8,7
"45",0,4,0,1,1,0,3,5,3,9,6
"46",1,2,0,1,3,1,0,2,3,5,2
"47",1,4,1,0,5,2,1,3,2,8,6
"48",0,1,0,0,1,0,0,2,0,4,4
"49",0,2,0,0,3,0,1,3,0,6,6
"50",0,0,1,0,2,0,0,3,1,3,2
"51",0,1,1,0,2,0,0,3,2,5,3
"52",1,0,2,1,0,1,0,0,2,0,-2
"53",2,4,2,0,3,2,1,4,2,5,3
"54",0,1,1,0,1,1,1,0,2,1,-1
"55",0,1,0,0,2,0,0,0,0,4,4
"56",0,1,0,0,2,0,0,2,1,2,1
"57",0,1,0,0,1,0,0,1,0,4,4
"58",0,3,0,0,1,0,0,1,0,3,3
"59",1,2,0,1,3,0,1,3,0,9,9
"60",0,0,1,1,0,0,0,1,1,1,0
"61",1,4,0,1,5,1,1,7,3,10,7
"62",1,2,1,2,2,1,3,3,1,3,2
"63",0,1,0,0,1,1,1,1,1,1,0
"64",2,2,1,2,1,1,0,2,3,5,2
"65",0,2,0,0,1,0,0,5,2,5,3
"66",0,1,0,0,3,0,1,3,0,6,6
"67",0,1,0,0,3,0,1,4,1,7,6
"68",0,0,0,0,0,0,0,1,2,4,2
"69",0,0,0,0,0,0,0,0,0,1,1
"70",0,0,0,0,0,0,0,0,1,2,1
"71",0,2,0,0,1,0,1,1,0,1,1
"72",1,3,0,0,2,0,0,3,1,5,4
"73",2,9,2,2,7,2,3,6,5,12,7
"74",0,6,0,0,2,0,2,5,0,7,7
"75",0,0,0,1,2,0,0,2,0,3,3
"76",0,3,0,0,3,0,1,3,1,6,5
"77",1,5,2,0,1,2,2,5,2,7,5
"78",1,5,0,1,4,2,2,2,2,6,4
"79",0,2,0,0,2,0,1,3,0,5,5
"80",0,2,0,0,0,0,0,2,0,4,4
"81",0,1,0,0,2,0,1,3,0,4,4
"82",0,4,0,0,2,1,0,4,1,5,4
"83",0,1,0,0,2,0,1,3,0,2,2
"84",2,2,1,2,2,2,1,1,2,5,3
"85",0,3,0,0,4,0,2,3,0,7,7
"86",1,4,0,3,1,0,0,5,2,7,5
"87",0,4,0,0,1,0,1,2,0,4,4
"88",0,0,0,0,0,0,0,0,0,1,1
"89",0,0,0,0,1,0,0,2,0,2,2
"90",1,0,1,0,1,1,0,1,2,3,1
"91",0,1,0,0,1,0,0,3,0,5,5
"92",0,2,0,0,2,0,1,5,1,5,4
"93",0,5,0,1,3,1,0,2,1,4,3
"94",0,2,0,0,2,0,0,3,0,5,5
"95",0,3,0,0,4,1,0,2,0,6,6
"96",0,2,0,0,3,0,1,3,0,6,6
"97",1,3,0,1,3,2,1,2,2,4,2
"98",1,0,0,1,2,1,2,4,2,5,3
"99",0,2,0,1,4,0,0,2,1,7,6
